repeat,method,noise_mult,pi_s,rank,mape,aic,rss,beta_ranks,beta_dim
3,baseline,10,0.1,"[2, 2, 3]",,inf,,None,
3,baseline,10,0.1,"[3, 3, 4]",0.06071921566013415,-150.4846393528861,0.06666485859479278,"(2, 2, 3)",12.0
3,baseline,10,0.1,"[4, 4, 5]",0.04972929667764851,-152.92148691439624,0.04290823778279326,"(3, 3, 4)",36.0
3,baseline,10,0.1,"[5, 5, 6]",0.3338840235827155,119.02823742749564,1.9164425402685412,"(4, 4, 5)",80.0
3,baseline,10,0.1,"[6, 6, 7]",0.534843081574736,254.06922814491,5.66602115881094,"(5, 5, 6)",150.0
3,baseline,10,0.1,"[7, 7, 9]",0.5246431788779634,347.2717151801655,4.893275519681231,"(6, 6, 7)",252.0
3,baseline,10,0.1,"[8, 8, 9]",1.1224106148745607,582.4790784950063,23.918478238099173,"(7, 7, 8)",392.0
3,baseline,10,0.1,"[9, 9, 11]",0.6971267810631332,712.0152048865289,9.649634909687043,"(8, 8, 9)",576.0
3,baseline,10,0.1,"[10, 10, 11]",0.4144000155004477,718.6948068624752,3.248673571026441,"(9, 8, 9)",648.0
3,baseline,10,0.3,"[2, 2, 3]",0.08356594215436512,-119.80250586016702,0.11883233079536608,"(2, 2, 2)",8.0
3,baseline,10,0.3,"[3, 3, 4]",0.07423109271421888,-118.11148229511915,0.08905289990060822,"(3, 3, 3)",27.0
